0,youtuber name,channel name,Category,Subscribers,Audience Country,avg views,avg likes,avg comments
0,tseries,T-Series,Music & Dance,212100000.0,India,323700.0,9800.0,290.0
3,PewDiePie,PewDiePie,Animation,111400000.0,United States,1400000.0,80800.0,4600.0
4,MrBeast6000,MrBeast,Video games,92500000.0,United States,30600000.0,1700000.0,67700.0
7,WWEFanNation,WWE,Video games,86900000.0,United States,76600.0,2800.0,163.0
8,zeemusiccompany,Zee Music Company,Music & Dance,82700000.0,India,108700.0,4200.0,155.0
11,kidrauhl,Justin Bieber,Music & Dance,68100000.0,United States,2700000.0,162700.0,7900.0
13,CanalKondZilla,Canal KondZilla,Music & Dance,65500000.0,Brazil,36800.0,2300.0,153.0
14,BANGTANTV,BANGTANTV,Music & Dance,65000000.0,United States,2800000.0,598900.0,14200.0
15,sabtv,Sony SAB,Movies,64900000.00000001,India,46500.0,899.0,27.0
16,ibighit,HYBE LABELS,Music & Dance,64700000.0,United States,401700.0,62300.0,2600.0
